DATE,TIME OF DAY,NUMBER OF CRASHES,PERSONS INJURED,PERSONS KILLED,PEAK LOCATION,MAIN FACTOR,MAIN TYPE OF CAR
2012-07-25,SMALL HOURS,30,8,0,manor road                      ,unspecified,passenger vehicle
2012-07-26,AFTERNOON,196,41,0,6 avenue                        ,unspecified,passenger vehicle
2012-07-26,EVENING,113,42,0,utica avenue                    ,unspecified,passenger vehicle
2012-07-26,MORNING,148,37,0,northern boulevard              ,unspecified,passenger vehicle
2012-07-26,SMALL HOURS,30,8,0,maspeth avenue                  ,unspecified,passenger vehicle
2012-07-27,AFTERNOON,206,52,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-07-27,EVENING,118,45,0,queens boulevard                ,unspecified,passenger vehicle
2012-07-27,MORNING,128,21,0,broadway                        ,unspecified,passenger vehicle
2012-07-27,SMALL HOURS,41,9,0,grand concourse                 ,unspecified,passenger vehicle
2012-07-28,AFTERNOON,161,40,0,avenue of the americas          ,unspecified,passenger vehicle
2012-07-28,EVENING,79,39,0,broadway                        ,unspecified,passenger vehicle
2012-07-28,MORNING,96,28,0,6 avenue                        ,unspecified,passenger vehicle
2012-07-28,SMALL HOURS,69,24,1,5 avenue                        ,unspecified,passenger vehicle
2012-07-29,AFTERNOON,117,27,0,canal street                    ,unspecified,passenger vehicle
2012-07-29,EVENING,73,22,0,west 42 street                  ,unspecified,passenger vehicle
2012-07-29,MORNING,44,11,0,nostrand avenue                 ,unspecified,passenger vehicle
2012-07-29,SMALL HOURS,56,18,0,east gun hill road              ,unspecified,passenger vehicle
2012-07-30,AFTERNOON,178,50,0,queens boulevard                ,unspecified,passenger vehicle
2012-07-30,EVENING,80,23,2,hylan boulevard                 ,unspecified,passenger vehicle
2012-07-30,MORNING,129,35,0,broadway                        ,unspecified,passenger vehicle
2012-07-30,SMALL HOURS,25,10,0,broadway                        ,unspecified,passenger vehicle
2012-07-31,AFTERNOON,171,37,0,3 avenue                        ,unspecified,passenger vehicle
2012-07-31,EVENING,86,24,0,60 street                       ,unspecified,passenger vehicle
2012-07-31,MORNING,121,31,0,3 avenue                        ,unspecified,passenger vehicle
2012-07-31,SMALL HOURS,26,10,0,7 avenue                        ,unspecified,passenger vehicle
2012-08-01,AFTERNOON,223,47,0,northern boulevard              ,unspecified,passenger vehicle
2012-08-01,EVENING,83,16,0,hylan boulevard                 ,unspecified,passenger vehicle
2012-08-01,MORNING,136,29,0,flushing avenue                 ,unspecified,passenger vehicle
2012-08-01,SMALL HOURS,26,8,0,east 165 street                 ,unspecified,passenger vehicle
2012-08-02,AFTERNOON,185,57,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-08-02,EVENING,78,19,0,linden boulevard                ,unspecified,passenger vehicle
2012-08-02,MORNING,120,36,0,1 avenue                        ,unspecified,passenger vehicle
2012-08-02,SMALL HOURS,44,8,1,6 avenue                        ,unspecified,passenger vehicle
2012-08-03,AFTERNOON,187,35,1,7 avenue                        ,unspecified,passenger vehicle
2012-08-03,EVENING,104,35,0,broadway                        ,unspecified,passenger vehicle
2012-08-03,MORNING,131,35,0,2 avenue                        ,unspecified,passenger vehicle
2012-08-03,SMALL HOURS,35,13,0,sutter avenue                   ,unspecified,passenger vehicle
2012-08-04,AFTERNOON,165,36,0,east gun hill road              ,unspecified,passenger vehicle
2012-08-04,EVENING,84,29,0,broadway                        ,unspecified,passenger vehicle
2012-08-04,MORNING,97,19,0,southern boulevard              ,unspecified,passenger vehicle
2012-08-04,SMALL HOURS,74,22,0,pennsylvania avenue             ,unspecified,passenger vehicle
2012-08-05,AFTERNOON,131,31,0,utica avenue                    ,unspecified,passenger vehicle
2012-08-05,EVENING,100,38,0,2 avenue                        ,unspecified,passenger vehicle
2012-08-05,MORNING,80,22,0,hillside avenue                 ,unspecified,passenger vehicle
2012-08-05,SMALL HOURS,73,38,0,1 avenue                        ,unspecified,passenger vehicle
2012-08-06,AFTERNOON,188,33,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-08-06,EVENING,87,30,1,broadway                        ,unspecified,passenger vehicle
2012-08-06,MORNING,146,34,0,northern boulevard              ,unspecified,passenger vehicle
2012-08-06,SMALL HOURS,39,10,0,broadway                        ,unspecified,passenger vehicle
2012-08-07,AFTERNOON,177,40,0,broadway                        ,unspecified,passenger vehicle
2012-08-07,EVENING,82,24,0,rockaway parkway                ,unspecified,passenger vehicle
2012-08-07,MORNING,144,40,0,18 avenue                       ,unspecified,passenger vehicle
2012-08-07,SMALL HOURS,35,15,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-08-08,AFTERNOON,192,43,0,queens boulevard                ,unspecified,passenger vehicle
2012-08-08,EVENING,82,32,0,10 avenue                       ,unspecified,passenger vehicle
2012-08-08,MORNING,124,22,0,linden boulevard                ,unspecified,passenger vehicle
